VIC,ShortName,Description,HorizontalActive,VerticalActive,VerticalHz,PixelMHz,HorizontalTotal,VerticalTotal,Native,,,,,,,,,,,
196,4320p30,7680x4320p @ 29.97Hz/30Hz ,7680,4320,29.97/30,1188,9000,4400,no,,,,,,,,,,,
197,4320p48,7680x4320p @ 47.95Hz/48Hz ,7680,4320,47.96/48,2376,11000,4500,no,,,,,,,,,,,
198,4320p50,7680x4320p @ 50Hz ,7680,4320,50,2376,10800,4400,no,,,,,,,,,,,
199,4320p,7680x4320p @ 59.94Hz/60Hz ,7680,4320,60,2376,9000,4400,no,,,,,,,,,,,
200,4320p100,7680x4320p @ 100Hz ,7680,4320,100,4752,10560,4500,no,,,,,,,,,,,
201,4320p120,7680x4320p @ 119.88/120Hz ,7680,4320,119.88/120,4752,8800,4500,no,,,,,,,,,,,
202,4320p24,7680x4320p @ 23.98Hz/24Hz ,7680,4320,23.98/24,1188,11000,4500,no,,,,,,,,,,,
203,4320p25,7680x4320p @ 25Hz ,7680,4320,25,1188,10800,4400,no,,,,,,,,,,,
204,4320p30,7680x4320p @ 29.97Hz/30Hz ,7680,4320,29.97/30,1188,9000,4400,no,,,,,,,,,,,
205,4320p48,7680x4320p @ 47.95Hz/48Hz ,7680,4320,47.96/48,2376,11000,4500,no,,,,,,,,,,,
206,4320p50,7680x4320p @ 50Hz ,7680,4320,50,2376,10800,4400,no,,,,,,,,,,,
207,4320p,7680x4320p @ 59.94Hz/60Hz ,7680,4320,60,2376,9000,4400,no,,,,,,,,,,,
208,4320p100,7680x4320p @ 100Hz ,7680,4320,100,4752,10560,4500,no,,,,,,,,,,,
209,4320p120,7680x4320p @ 119.88/120Hz ,7680,4320,119.88/120,4752,8800,4500,no,,,,,,,,,,,
210,4320p2x24,10240x4320p @ 23.98Hz/24Hz ,10240,4320,23.98/24,1485,12500,4950,no,,,,,,,,,,,
211,4320p2x25,10240x4320p @ 25Hz ,10240,4320,25,1485,13500,4400,no,,,,,,,,,,,
212,4320p2x30,10240x4320p @ 29.97Hz/30Hz ,10240,4320,29.97/30,1485,11000,4500,no,,,,,,,,,,,
213,4320p2x48,10240x4320p @ 47.95Hz/48Hz ,10240,4320,47.96/48,2970,12500,4950,no,,,,,,,,,,,
214,4320p2x50,10240x4320p @ 50Hz ,10240,4320,50,2970,13500,4400,no,,,,,,,,,,,
215,4320p2x,10240x4320p @ 59.94Hz/60Hz ,10240,4320,60,2970,11000,4400,no,,,,,,,,,,,
216,4320p2x100,10240x4320p @ 100Hz ,10240,4320,100,5940,13200,4500,no,,,,,,,,,,,
217,4320p2x120,10240x4320p @ 119.88/120Hz ,10240,4320,119.88/120,5940,11000,4500,no,,,,,,,,,,,
218,2160p100,4096x2160p @ 100Hz ,4096,2160,100,1188,5280,2250,no,,,,,,,,,,,
219,2160p120,4096x2160p @ 119.88/120Hz ,4096,2160,119.88/120,1188,4400,2250,no,,,,,,,,,,,
